date,risk_score,alert,true_label
2019-01-29,1.2693417e-08,0,0.0
2019-01-30,2.7460201e-08,0,0.0
2019-01-31,7.559584e-07,0,0.0
2019-02-01,2.3184204e-07,0,0.0
2019-02-02,8.930083e-09,0,0.0
2019-02-03,9.854595e-10,0,0.0
2019-02-04,1.4778888e-07,0,0.0
2019-02-05,9.274032e-08,0,0.0
2019-02-06,1.6001483e-08,0,0.0
2019-02-07,3.951236e-09,0,0.0
2019-02-08,2.6088903e-08,0,0.0
2019-02-09,4.5887183e-09,0,0.0
2019-02-10,7.125589e-10,0,0.0
2019-02-11,3.3453001e-10,0,0.0
2019-02-12,2.6529365e-09,0,0.0
2019-02-13,1.5943058e-11,0,0.0
2019-02-14,5.643243e-12,0,0.0
2019-02-15,2.2050889e-11,0,0.0
2019-02-16,1.3259308e-10,0,0.0
2019-02-17,9.411309e-13,0,0.0
2019-02-18,5.3629718e-14,0,0.0
2019-02-19,1.6213951e-13,0,0.0
2019-02-20,5.8684996e-13,0,0.0
2019-02-21,1.4114572e-13,0,0.0
2019-02-22,6.502016e-15,0,0.0
2019-02-23,1.189716e-13,0,0.0
2019-02-24,4.1688946e-14,0,0.0
2019-02-25,3.818616e-14,0,0.0
2019-02-26,9.839482e-16,0,0.0
2019-02-27,1.3828397e-14,0,0.0
2019-02-28,5.954606e-14,0,0.0
2019-03-01,2.682738e-14,0,0.0
2019-03-02,2.7740229e-14,0,0.0
2019-03-03,3.5845465e-12,0,0.0
2019-03-04,2.6582118e-11,0,0.0
2019-03-05,6.897218e-11,0,0.0
2019-03-06,7.4100864e-11,0,0.0
2019-03-07,1.3036405e-09,0,0.0
2019-03-08,4.1387413e-10,0,0.0
2019-03-09,1.1470603e-09,0,0.0
2019-03-10,2.1995818e-11,0,0.0
2019-03-11,1.4183357e-10,0,0.0
2019-03-12,6.6818096e-12,0,0.0
2019-03-13,6.2938266e-11,0,0.0
2019-03-14,2.3122348e-12,0,0.0
2019-03-15,8.704469e-13,0,0.0
2019-03-16,3.9737633e-14,0,0.0
2019-03-17,5.1402252e-14,0,0.0
2019-03-18,5.9014153e-15,0,0.0
2019-03-19,3.6220658e-15,0,0.0
2019-03-20,2.2707473e-14,0,0.0
2019-03-21,6.1499444e-14,0,0.0
2019-03-22,3.0629006e-14,0,0.0
2019-03-23,3.715876e-15,0,0.0
2019-03-24,4.0550203e-15,0,0.0
2019-03-25,4.1300036e-14,0,0.0
2019-03-26,1.6449834e-15,0,0.0
2019-03-27,4.2278467e-14,0,0.0
2019-03-28,3.6766075e-15,0,0.0
2019-03-29,4.2888557e-12,0,0.0
2019-03-30,1.5362843e-12,0,0.0
2019-03-31,5.7639844e-11,0,0.0
2019-04-01,5.1198976e-12,0,0.0
2019-04-02,5.5321986e-10,0,0.0
2019-04-03,1.625464e-09,0,0.0
2019-04-04,1.2087781e-06,0,0.0
2019-04-05,1.4722872e-07,0,0.0
2019-04-06,9.052676e-07,0,0.0
2019-04-07,1.3633118e-06,0,0.0
2019-04-08,5.9347716e-05,0,0.0
2019-04-09,4.2474927e-05,0,0.0
2019-04-10,1.0893752e-06,0,0.0
2019-04-11,4.3717162e-07,0,0.0
2019-04-12,7.818446e-06,0,0.0
2019-04-13,2.9759065e-05,0,0.0
2019-04-14,1.0252332e-06,0,0.0
2019-04-15,2.7439628e-06,0,0.0
2019-04-16,6.7977046e-05,0,0.0
2019-04-17,0.0006630964,0,0.0
2019-04-18,3.6217343e-06,0,0.0
2019-04-19,0.00023724884,0,0.0
2019-04-20,0.0009299408,0,0.0
2019-04-21,0.0095933555,0,0.0
